"#";"Url";"Type";"Anchor";"No-follow"
"1";"https://www.facebook.com/TendenciaAnimalShop";"text";"";"No"
"";"";"text";"Facebook";"No"
"2";"https://www.instagram.com/tendenciaanimalshop/";"text";"";"No"
"";"";"text";"Instagram";"No"
"3";"https://www.facebook.com/sharer.php?u=https://tendenciaanimal.com/products/puppy-warm-and-thick-black-down-jacket-sleeveless-vest-jacket";"text";"Compartir Compartir en Facebook";"No"
"4";"https://twitter.com/share?text=Chaleco%20THE%20DOG%20FACE&url=https://tendenciaanimal.com/products/puppy-warm-and-thick-black-down-jacket-sleeveless-vest-jacket";"text";"Tuitear Tuitear en Twitter";"No"
"5";"https://pinterest.com/pin/create/button/?url=https://tendenciaanimal.com/products/puppy-warm-and-thick-black-down-jacket-sleeveless-vest-jacket&media=//cdn.shopify.com/s/files/1/0515/9852/4595/products/1612777340296_1024x1024.jpg?v=1613563707&description=Chaleco%20THE%20DOG%20FACE";"text";"Hacer pin Pinear en Pinterest";"No"
"6";"https://www.shopify.com/?ref=debutify";"text";"Shopify";"Yes"
"7";"https://debutify.com/";"text";"Debutify";"No"
"8";"https://pay.google.com/gp/p/ui/payframe?origin=https%3A%2F%2Ftendenciaanimal.com∣=16708973830884969730";"frame";"";"No"
