"Keyword";"Found in";"Repeats";"Density";"Prominence","precio";"";"22";"2.29%";"69.24%"
"habitual";"";"21";"2.19%";"68.39%"
"productos";"D";"14";"1.46%";"48.47%"
"animal";"TD";"11";"1.15%";"43.23%"
"tendencia";"TD";"11";"1.15%";"43.33%"
"face";"";"11";"1.15%";"65.79%"
"dog";"";"11";"1.15%";"65.89%"
"política";"";"9";"0.94%";"46.65%"
"chaqueta";"";"9";"0.94%";"49.43%"
"para";"TD";"8";"0.83%";"74.50%"
"chaleco";"";"8";"0.83%";"72.38%"
"los";"";"7";"0.73%";"38.79%"
"calidad";"D";"7";"0.73%";"32.43%"
"carrito";"";"7";"0.73%";"91.91%"
"con";"";"6";"0.63%";"53.58%"
"pedido";"";"6";"0.63%";"49.13%"
"atención";"";"6";"0.63%";"26.05%"
"pero";"";"6";"0.63%";"37.68%"
"comprar";"";"6";"0.63%";"60.78%"
"envíos";"";"5";"0.52%";"35.79%"
"contacto";"";"5";"0.52%";"59.79%"
"sus";"";"5";"0.52%";"31.87%"
"suelo";"";"5";"0.52%";"34.10%"
"valencia";"";"5";"0.52%";"34.31%"
"recomendable";"";"5";"0.52%";"36.93%"
"pawlenciaga";"";"5";"0.52%";"57.62%"
"todo";"";"5";"0.52%";"41.90%"
"mascota";"D";"5";"0.52%";"63.17%"
"suéter";"";"5";"0.52%";"67.61%"
"ofertas";"";"4";"0.42%";"51.90%"
"nosotros";"";"4";"0.42%";"49.82%"
"por";"";"4";"0.42%";"22.26%"
"estos";"";"4";"0.42%";"42.21%"
"buena";"";"4";"0.42%";"33.32%"
"utilidad";"";"4";"0.42%";"65.75%"
"regalo";"";"4";"0.42%";"56.91%"
"menú";"";"4";"0.42%";"96.72%"
"pay";"";"3";"0.31%";"0.63%"
"express";"";"3";"0.31%";"63.16%"
"nuestra";"";"3";"0.31%";"12.37%"
"servicio";"";"3";"0.31%";"37.57%"
"cookies";"";"3";"0.31%";"64.34%"
"trabaja";"";"3";"0.31%";"64.23%"
"sobre";"";"3";"0.31%";"27.88%"
"localizar";"";"3";"0.31%";"64.69%"
"gratis";"";"3";"0.31%";"37.05%"
"envío";"";"3";"0.31%";"65.87%"
"cliente";"";"3";"0.31%";"25.34%"
"máxima";"D";"3";"0.31%";"26.49%"
"castellon";"";"3";"0.31%";"32.74%"
"cumplido";"";"3";"0.31%";"32.85%"
"juan";"";"3";"0.31%";"32.95%"
"pena";"";"3";"0.31%";"33.06%"
"merece";"";"3";"0.31%";"33.26%"
"encantó";"";"3";"0.31%";"33.37%"
"hice";"";"3";"0.31%";"33.58%"
"reseñas";"";"3";"0.31%";"34.10%"
"dejar";"";"3";"0.31%";"34.20%"
"forner";"";"3";"0.31%";"34.62%"
"isabel";"";"3";"0.31%";"34.72%"
"maria";"";"3";"0.31%";"34.83%"
"tienen";"";"3";"0.31%";"34.93%"
"artículo";"";"3";"0.31%";"35.14%"
"mejor";"D";"3";"0.31%";"35.25%"
"parece";"";"3";"0.31%";"35.45%"
"encanta";"";"3";"0.31%";"36.08%"
"bilbao";"";"3";"0.31%";"36.50%"
"lópez";"";"3";"0.31%";"36.60%"
"paula";"";"3";"0.31%";"36.70%"
"increibles";"";"3";"0.31%";"36.91%"
"son";"";"3";"0.31%";"37.02%"
"sitio";"";"3";"0.31%";"37.12%"
"ningún";"";"3";"0.31%";"37.23%"
"encuentras";"";"3";"0.31%";"37.43%"
"verdad";"";"3";"0.31%";"38.06%"
"como";"";"3";"0.31%";"42.37%"
"tarjeta";"";"3";"0.31%";"57.77%"
"regala";"";"3";"0.31%";"53.49%"
"las";"";"3";"0.31%";"79.35%"
"tactic";"";"3";"0.31%";"67.05%"
"champion";"";"3";"0.31%";"68.09%"
"camiseta";"";"3";"0.31%";"68.20%"
"puppy";"";"3";"0.31%";"68.61%"
"ventas";"";"3";"0.31%";"87.00%"
"top";"";"3";"0.31%";"87.10%"
"ahora";"";"3";"0.31%";"81.40%"
"cortavientos";"";"3";"0.31%";"79.08%"
"mascotas";"TD";"3";"0.31%";"95.17%"
"ingresar";"";"3";"0.31%";"91.94%"
"ropa";"TD";"3";"0.31%";"95.97%"
"debutify";"";"2";"0.21%";"1.56%"
"theme";"";"2";"0.21%";"1.72%"
"shopify";"";"2";"0.21%";"1.82%"
"entrada";"";"2";"0.21%";"9.85%"
"bandeja";"";"2";"0.21%";"10.06%"
"directamente";"";"2";"0.21%";"10.38%"
"nuevos";"";"2";"0.21%";"10.79%"
"promociones";"";"2";"0.21%";"10.90%"
"newsletter";"";"2";"0.21%";"11.00%"
"facebook";"";"2";"0.21%";"43.27%"
"legal";"";"2";"0.21%";"49.43%"
"aviso";"";"2";"0.21%";"49.53%"
"términos";"";"2";"0.21%";"49.84%"
"privacidad";"";"2";"0.21%";"50.57%"
"reembolso";"";"2";"0.21%";"50.89%"
"búsqueda";"";"2";"0.21%";"51.30%"
"todos";"D";"2";"0.21%";"44.42%"
"clientes";"";"2";"0.21%";"12.67%"
"una";"";"2";"0.21%";"42.86%"
"devoluciones";"";"2";"0.21%";"15.38%"
"días";"";"2";"0.21%";"46.40%"
"madrid";"";"2";"0.21%";"31.18%"
"rojas";"";"2";"0.21%";"31.28%"
"laura";"";"2";"0.21%";"31.39%"
"compré";"";"2";"0.21%";"32.22%"
"mucho";"";"2";"0.21%";"33.06%"
"llamó";"";"2";"0.21%";"33.16%"
"internet";"";"2";"0.21%";"33.47%"
"josé";"";"2";"0.21%";"34.10%"
"maría";"";"2";"0.21%";"34.20%"
"navidades";"";"2";"0.21%";"34.31%"
"estas";"";"2";"0.21%";"34.41%"
"repetiré";"";"2";"0.21%";"34.52%"
"duda";"";"2";"0.21%";"34.62%"
"sin";"";"2";"0.21%";"34.72%"
"muy";"";"2";"0.21%";"34.93%"
"rápidos";"";"2";"0.21%";"35.25%"
"esperaba";"";"2";"0.21%";"35.45%"
"llegó";"";"2";"0.21%";"35.66%"
"semanas";"";"2";"0.21%";"36.08%"
"hace";"";"2";"0.21%";"36.29%"
"tienda";"D";"2";"0.21%";"36.39%"
"esta";"D";"2";"0.21%";"36.50%"
"pedí";"";"2";"0.21%";"36.70%"
"toledo";"";"2";"0.21%";"36.81%"
"corona";"";"2";"0.21%";"36.91%"
"jaime";"";"2";"0.21%";"37.02%"
"gran";"";"2";"0.21%";"37.75%"
"sorprendo";"";"2";"0.21%";"39.00%"
"compro";"";"2";"0.21%";"39.52%"
"siempre";"";"2";"0.21%";"39.73%"
"ver";"";"2";"0.21%";"74.66%"
"monster";"";"2";"0.21%";"66.79%"
"militar";"";"2";"0.21%";"66.89%"
"cleopatra";"";"2";"0.21%";"67.41%"
"sudadera";"";"2";"0.21%";"68.14%"
"más";"";"2";"0.21%";"78.31%"
"usar";"";"2";"0.21%";"85.51%"
"pupreme";"";"2";"0.21%";"83.63%"
"tuitear";"";"2";"0.21%";"81.80%"
"compartir";"";"2";"0.21%";"82.22%"
"cama";"";"2";"0.21%";"87.96%"
"buscar";"";"2";"0.21%";"93.95%"
"cuidados";"";"2";"0.21%";"93.64%"
"juguetes";"";"2";"0.21%";"93.95%"
"inicio";"";"2";"0.21%";"94.79%"
"cerrar";"";"2";"0.21%";"96.35%","Keyword";"Found in";"Repeats";"Density";"Prominence","precio habitual";"";"21";"4.38%";"68.39%"
"habitual 760";"";"17";"3.55%";"67.58%"
"tendencia animal";"TD";"11";"2.29%";"43.23%"
"dog face";"";"11";"2.29%";"65.79%"
"política de";"";"9";"1.88%";"46.54%"
"the dog";"";"8";"1.67%";"77.19%"
"no suelo";"";"5";"1.04%";"34.10%"
"valencia no";"";"5";"1.04%";"34.20%"
"la chaqueta";"";"5";"1.04%";"34.58%"
"760 chaleco";"";"5";"1.04%";"66.84%"
"760 suéter";"";"5";"1.04%";"67.61%"
"productos y";"";"4";"0.83%";"24.43%"
"con nosotros";"";"3";"0.63%";"64.03%"
"trabaja con";"";"3";"0.63%";"64.13%"
"mi pedido";"";"3";"0.63%";"64.48%"
"localizar mi";"";"3";"0.63%";"64.58%"
"al cliente";"";"3";"0.63%";"25.34%"
"atención al";"";"3";"0.63%";"25.44%"
"cumplido castellon";"";"3";"0.63%";"32.74%"
"juan cumplido";"";"3";"0.63%";"32.85%"
"pena juan";"";"3";"0.63%";"32.95%"
"la pena";"";"3";"0.63%";"33.06%"
"merece la";"";"3";"0.63%";"33.16%"
"encantó merece";"";"3";"0.63%";"33.26%"
"me encantó";"";"3";"0.63%";"33.37%"
"hice me";"";"3";"0.63%";"33.47%"
"que hice";"";"3";"0.63%";"33.58%"
"pedido que";"";"3";"0.63%";"33.68%"
"el pedido";"";"3";"0.63%";"33.79%"
"pero el";"";"3";"0.63%";"33.89%"
"reseñas pero";"";"3";"0.63%";"33.99%"
"dejar reseñas";"";"3";"0.63%";"34.10%"
"suelo dejar";"";"3";"0.63%";"34.20%"
"forner valencia";"";"3";"0.63%";"34.52%"
"isabel forner";"";"3";"0.63%";"34.62%"
"maria isabel";"";"3";"0.63%";"34.72%"
"tienen maria";"";"3";"0.63%";"34.83%"
"que tienen";"";"3";"0.63%";"34.93%"
"artículo que";"";"3";"0.63%";"35.04%"
"mejor artículo";"";"3";"0.63%";"35.14%"
"el mejor";"";"3";"0.63%";"35.25%"
"parece el";"";"3";"0.63%";"35.35%"
"me parece";"";"3";"0.63%";"35.45%"
"face me";"";"3";"0.63%";"35.56%"
"chaqueta dog";"";"3";"0.63%";"35.77%"
"encanta la";"";"3";"0.63%";"35.97%"
"me encanta";"";"3";"0.63%";"36.08%"
"bilbao a";"";"3";"0.63%";"36.39%"
"lópez bilbao";"";"3";"0.63%";"36.50%"
"paula lópez";"";"3";"0.63%";"36.60%"
"recomendable paula";"";"3";"0.63%";"36.70%"
"increibles recomendable";"";"3";"0.63%";"36.81%"
"son increibles";"";"3";"0.63%";"36.91%"
"sitio son";"";"3";"0.63%";"37.02%"
"ningún sitio";"";"3";"0.63%";"37.12%"
"en ningún";"";"3";"0.63%";"37.23%"
"encuentras en";"";"3";"0.63%";"37.33%"
"los encuentras";"";"3";"0.63%";"37.43%"
"no los";"";"3";"0.63%";"37.54%"
"productos no";"";"3";"0.63%";"37.64%"
"estos productos";"";"3";"0.63%";"37.75%"
"que estos";"";"3";"0.63%";"37.85%"
"verdad que";"";"3";"0.63%";"37.96%"
"la verdad";"";"3";"0.63%";"38.06%"
"de sus";"";"3";"0.63%";"44.60%"
"en tendencia";"";"3";"0.63%";"50.75%"
"habitual 633";"";"3";"0.63%";"66.74%"
"tactic precio";"";"3";"0.63%";"66.94%"
"chaleco tactic";"";"3";"0.63%";"67.05%"
"eight precio";"";"3";"0.63%";"67.47%"
"suéter eight";"";"3";"0.63%";"67.57%"
