"#";"Url";"Type";"Anchor";"No-follow"
"1";"https://tendenciaanimal.com/search";"form";"";"No"
"";"";"text";"Búsqueda";"No"
"";"";"text";"Buscar";"No"
"2";"https://tendenciaanimal.com/";"text";"INICIO";"No"
"";"";"text";"Menú";"No"
"";"";"image";"Tendencia Animal";"No"
"";"";"text";"Tendencia Animal";"No"
"";"";"text";"";"No"
"3";"https://tendenciaanimal.com/collections/frontpage";"text";"Productos";"No"
"";"";"text";"COMPRAR AHORA";"No"
"";"";"text";"Ver todo";"No"
"4";"https://tendenciaanimal.com/collections/envio-express";"text";"Envío express";"No"
"5";"https://tendenciaanimal.com/collections/ropa";"text";"Ropa";"No"
"6";"https://tendenciaanimal.com/collections/juguetes";"text";"Juguetes";"No"
"7";"https://tendenciaanimal.com/collections/utilidad-y-cuidados";"text";"Utilidad y cuidados";"No"
"8";"https://tendenciaanimal.com/collections/top-ventas";"text";"Top ventas";"No"
"9";"https://tendenciaanimal.com/collections/ofertas";"text";"Ofertas";"No"
"10";"https://tendenciaanimal.com/pages/seguimiento-del-envio";"text";"Localizar mi pedido";"No"
"11";"https://tendenciaanimal.com/pages/contacto";"text";"Contacto";"No"
"12";"https://tendenciaanimal.com/pages/trabaja-con-nosotros";"text";"Trabaja con nosotros";"No"
"13";"https://tendenciaanimal.com/account/register";"text";"Ingresar";"No"
"";"";"text";"Crear cuenta";"No"
"14";"https://tendenciaanimal.com/policies/refund-policy";"text";"Política de reembolso";"No"
"15";"https://tendenciaanimal.com/pages/politica-de-privacidad";"text";"Política de privacidad";"No"
"16";"https://tendenciaanimal.com/pages/politica-de-cookies";"text";"Política de cookies";"No"
"17";"https://tendenciaanimal.com/pages/politica-de-envios";"text";"Política de envíos";"No"
"18";"https://tendenciaanimal.com/policies/terms-of-service";"text";"Términos de servicio";"No"
"19";"https://tendenciaanimal.com/pages/aviso-legal";"text";"Aviso Legal";"No"
"20";"https://tendenciaanimal.com/cart";"text";"Carrito de compra";"No"
"";"";"text";"Carrito";"No"
"21";"https://tendenciaanimal.com/collections/all";"text";"Continúe explorando";"No"
"";"";"text";"Todos los productos";"No"
"22";"https://tendenciaanimal.com/cart/update";"form";"";"No"
"23";"https://tendenciaanimal.com/account";"text";"Ingresar";"No"
"24";"https://tendenciaanimal.com/products/pet-beds-donut-round-dog-bed-soft-plush-fluffy-cat-cushion-anti-slip-machine-washable-self-warming-for-puppy-small-medium-large";"text";"VER CAMA";"No"
"25";"https://tendenciaanimal.com/products/puppy-warm-and-thick-black-down-jacket-sleeveless-vest-jacket?variant=38238603837619";"text";"Chaleco THE DOG FACE";"No"
"";"";"text";"Todos los detalles";"No"
"26";"https://tendenciaanimal.com/cart/add";"form";"";"No"
"27";"https://tendenciaanimal.com/products/ropa-para-mascotas-the-dog-face";"text";"COMPRAR AHORA";"No"
"";"";"text";"<img class=""grid-product__image"" src=""//cdn.shopify.com/s/files/1/0515/9852/4...";"No"
"";"";"text";"Chaqueta THE DOG FACE (20) Precio habitual $ 760";"No"
"28";"https://tendenciaanimal.com/products/chaleco-con-estampado-canino-para-mascotas";"text";"<img class=""grid-product__image"" src=""//cdn.shopify.com/s/files/1/0515/9852/4...";"No"
"";"";"text";"Chaleco PUPPY Precio habitual $ 760";"No"
"29";"https://tendenciaanimal.com/products/camiseta-con-logo-para-mascotas-perros-gatos";"text";"<img class=""grid-product__image"" src=""//cdn.shopify.com/s/files/1/0515/9852/4...";"No"
"";"";"text";"Camiseta CHAMPION Precio habitual $ 760";"No"
"30";"https://tendenciaanimal.com/products/sueter-estilo-gucci-mascotas-perro-gato-moda";"text";"<img class=""grid-product__image"" src=""//cdn.shopify.com/s/files/1/0515/9852/4...";"No"
"";"";"text";"Suéter EIGHT Precio habitual $ 760";"No"
"31";"https://tendenciaanimal.com/products/chaleco-tactico-para-perros";"text";"<img class=""grid-product__image"" src=""//cdn.shopify.com/s/files/1/0515/9852/4...";"No"
"";"";"text";"Chaleco TACTIC Precio habitual $ 633";"No"
"32";"https://tendenciaanimal.com/products/sudadera-pawlenciaga-mascotas-moda-balenciaga";"text";"<img class=""grid-product__image"" src=""//cdn.shopify.com/s/files/1/0515/9852/4...";"No"
"";"";"text";"Sudadera PAWLENCIAGA (13) Precio habitual $ 760";"No"
"33";"https://tendenciaanimal.com/products/sueter-estilo-fendi-moda-mascotas";"text";"<img class=""grid-product__image"" src=""//cdn.shopify.com/s/files/1/0515/9852/4...";"No"
"";"";"text";"Suéter CLEOPATRA Precio habitual $ 760";"No"
"34";"https://tendenciaanimal.com/products/perro-chaqueta-militar-mascotas";"text";"<img class=""grid-product__image"" src=""//cdn.shopify.com/s/files/1/0515/9852/4...";"No"
"";"";"text";"Chaqueta militar MONSTER Precio habitual $ 760";"No"
"35";"https://tendenciaanimal.com/products/pet-windproof-and-waterproof-jacket";"text";"SNOW";"No"
"36";"https://tendenciaanimal.com/products/chubasquero-estilo-the-dog-face-eeuu-mascotas";"text";"EEUU";"No"
"37";"https://tendenciaanimal.com/products/tarjeta-regalo";"text";"COMPRAR TARJETA REGALO";"No"
"38";"https://tendenciaanimal.com/contact";"form";"";"No"
"39";"https://tendenciaanimal.com/pages/sobre-nosotros";"text";"Sobre nosotros";"No"
